Kota,Otvorenost,Q,Q_turbine,Q_ukupno,H_carinski_t0,Kisa_mm,H_carinski_t1
72.1,0.0,0.0,240,240.0,41.72804808469235,35.5793127820993,42.37036533582074
72.2,0.0,0.0,360,360.0,44.261579751983284,51.613480467449776,45.218033673853085
72.3,0.0,0.0,0,0.0,44.295163217721786,30.483816925626694,44.41709848542429
72.4,0.0,0.0,240,240.0,42.9440340730073,68.79100914553243,43.719198109589435
72.5,0.0,0.0,240,240.0,43.521565335130916,86.39548220095105,44.36714726393472
73.0,0.0,0.0,360,360.0,41.208898598094194,29.88631887868677,42.07844387360894
73.9,0.0,0.0,0,0.0,45.10223021244857,19.298400793902857,45.179423815624176
72.0,1.0,79.0,0,79.0,44.02127363671746,11.618057425408912,44.23232919975243
72.0,1.1,86.0,240,326.0,41.317575785280454,61.62540405708125,42.24324406817544
72.0,1.2,93.0,120,213.0,44.74415741128267,44.38559911405694,45.3654498077389
72.0,1.3,100.0,240,340.0,43.567301424771536,18.801571719628896,44.35084104498339
72.0,1.4,107.0,240,347.0,41.1895369268375,65.31367332918553,42.17370828682091
72.0,1.5,115.0,240,355.0,46.33284249766452,14.84831830052844,47.13181910419997
72.0,1.6,122.0,240,362.0,46.22011678699192,55.43007058479525,47.19600373599778
72.0,1.7,129.0,360,489.0,43.82096328880959,52.71483816252647,45.05057264145969
72.0,1.8,136.0,0,136.0,41.51519831388251,73.42278011860833,42.092222767690274
72.0,1.9,143.0,360,503.0,45.15041671879226,5.5109639940666755,46.22037724143519
72.1,1.0,79.0,360,439.0,43.70562105058151,88.78729318513304,44.97535355665538
72.1,1.1,86.0,360,446.0,42.66346113059159,70.29917261468195,43.87382448771699
72.1,1.2,93.0,240,333.0,43.702799976407064,21.61259983487622,44.48300037574657
72.1,1.3,101.0,120,221.0,43.87344279973006,18.340534860973968,44.40722160584062
72.1,1.4,108.0,0,108.0,44.094914344622865,43.16602141437834,44.49257843028038
72.1,1.5,115.0,120,235.0,43.426730425104296,81.75653295445969,44.24333989025547
72.1,1.6,122.0,360,482.0,44.33165416726481,84.29499931391071,45.673000831187125
72.1,1.7,129.0,360,489.0,46.05304090833508,52.045609213938306,47.279973345190825
72.1,1.8,137.0,120,257.0,42.99247447904225,86.08108626867374,43.87221549078362
72.1,1.9,144.0,120,264.0,44.99144054770972,0.5443709191690571,45.543618031386394
72.2,1.0,80.0,120,200.0,45.91948906253327,3.517463153159661,46.35022558181257
72.2,1.1,87.0,360,447.0,43.507886016679656,91.18215936367427,44.80386465413435
72.2,1.2,95.0,360,455.0,43.439007100100476,77.53319298859161,44.697056538721505
72.2,1.3,102.0,0,102.0,44.311643419451286,45.07060582503857,44.70442584275144
72.2,1.4,109.0,0,109.0,44.252737176823686,75.36101314779872,44.78126456274821
72.2,1.5,117.0,360,477.0,45.43624138279452,95.56394617234216,46.81224716748389
72.2,1.6,124.0,120,244.0,43.62065861078061,77.20895238812851,44.437827753666454
72.2,1.7,131.0,120,251.0,46.478676223016926,84.2371333818322,47.33854142321092
72.2,1.8,138.0,0,138.0,41.327093628770044,76.06065813900618,41.91883626132607
72.2,1.9,146.0,360,506.0,41.01742316719386,16.821109243354158,42.138874270833945
72.3,1.0,81.0,0,81.0,44.521090713577934,83.35741096457367,45.02327035743623
72.3,1.1,88.0,0,88.0,42.64139201799032,19.510882002421003,42.90276887933334
72.3,1.2,96.0,240,336.0,42.32210313784716,89.2611328044147,43.37914766906482
72.3,1.3,103.0,240,343.0,42.715444940023545,45.864989808107595,43.613488232589305
72.3,1.4,110.0,240,350.0,42.40826160807725,67.69767523110285,43.40821897566832
72.3,1.5,180.0,120,300.0,41.169345273132464,49.724084788064346,41.99324161228472
72.3,1.6,125.0,360,485.0,46.343431733148236,9.399092941660204,47.39144477158154
